msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,0.266
2,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.288
3,HTTP,client_browser,web_server,GET /banner.jpg HTTP/1.1,0.371
4,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.384
5,HTTP,client_browser,web_server,GET /contact.html HTTP/1.1,0.681
6,HTTP,web_server,client_browser,HTTP/1.1 301 Moved Permanently,0.714
7,HTTP,client_browser,web_server,GET /about.html HTTP/1.1,0.875
8,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.958
9,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,1.094
10,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.130
11,HTTP,client_browser,web_server,GET /products.html HTTP/1.1,1.320
12,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.352
13,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,1.677
14,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.723
15,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,1.787
16,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.843
17,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,1.874
18,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.933
19,HTTP,client_browser,web_server,GET /products.html HTTP/1.1,2.066
20,HTTP,web_server,client_browser,HTTP/1.1 200 OK,2.097
21,HTTP,client_browser,web_server,GET /about.html HTTP/1.1,2.137
22,HTTP,web_server,client_browser,HTTP/1.1 200 OK,2.185
23,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,2.508
24,HTTP,web_server,client_browser,HTTP/1.1 301 Moved Permanently,2.592
25,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,2.985
26,HTTP,web_server,client_browser,HTTP/1.1 200 OK,3.022
27,HTTP,client_browser,web_server,GET /products.html HTTP/1.1,3.071
28,HTTP,web_server,client_browser,HTTP/1.1 200 OK,3.127
29,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,3.567
30,HTTP,web_server,client_browser,HTTP/1.1 200 OK,3.639
31,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,3.753
32,HTTP,web_server,client_browser,HTTP/1.1 200 OK,3.837
33,HTTP,client_browser,web_server,GET /contact.html HTTP/1.1,3.927
34,HTTP,web_server,client_browser,HTTP/1.1 200 OK,4.020
35,HTTP,client_browser,web_server,GET /products.html HTTP/1.1,4.317
36,HTTP,web_server,client_browser,HTTP/1.1 200 OK,4.328
37,HTTP,client_browser,web_server,GET /contact.html HTTP/1.1,4.494
38,HTTP,web_server,client_browser,HTTP/1.1 200 OK,4.513
39,HTTP,client_browser,web_server,GET /about.html HTTP/1.1,5.011
40,HTTP,web_server,client_browser,HTTP/1.1 200 OK,5.099
41,HTTP,client_browser,web_server,GET /banner.jpg HTTP/1.1,5.506
42,HTTP,web_server,client_browser,HTTP/1.1 200 OK,5.519
43,HTTP,client_browser,web_server,POST /login.html HTTP/1.1,5.685
44,HTTP,web_server,client_browser,HTTP/1.1 200 OK,5.760
45,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,6.177
46,HTTP,web_server,client_browser,HTTP/1.1 200 OK,6.184
47,HTTP,client_browser,web_server,POST /login.html HTTP/1.1,6.503
48,HTTP,web_server,client_browser,HTTP/1.1 200 OK,6.528
49,HTTP,client_browser,web_server,GET /products.html HTTP/1.1,6.978
50,HTTP,web_server,client_browser,HTTP/1.1 200 OK,7.057
51,HTTP,client_browser,web_server,GET /products.html HTTP/1.1,7.124
52,HTTP,web_server,client_browser,HTTP/1.1 200 OK,7.213
53,HTTP,client_browser,web_server,GET /script.js HTTP/1.1,7.424
54,HTTP,web_server,client_browser,HTTP/1.1 200 OK,7.464
55,HTTP,client_browser,web_server,GET /products.html HTTP/1.1,7.487
56,HTTP,web_server,client_browser,HTTP/1.1 200 OK,7.582
57,HTTP,client_browser,web_server,GET /products.html HTTP/1.1,7.998
58,HTTP,web_server,client_browser,HTTP/1.1 200 OK,8.026
59,HTTP,client_browser,web_server,GET /banner.jpg HTTP/1.1,8.319
60,HTTP,web_server,client_browser,HTTP/1.1 200 OK,8.337
61,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,8.699
62,HTTP,web_server,client_browser,HTTP/1.1 200 OK,8.729
63,HTTP,client_browser,web_server,GET /banner.jpg HTTP/1.1,9.143
64,HTTP,web_server,client_browser,HTTP/1.1 200 OK,9.186
65,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,9.245
66,HTTP,web_server,client_browser,HTTP/1.1 200 OK,9.271
67,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,9.639
68,HTTP,web_server,client_browser,HTTP/1.1 200 OK,9.689
69,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,9.726
70,HTTP,web_server,client_browser,HTTP/1.1 200 OK,9.774
71,HTTP,client_browser,web_server,GET /script.js HTTP/1.1,9.909
72,HTTP,web_server,client_browser,HTTP/1.1 200 OK,9.926
73,HTTP,client_browser,web_server,GET /banner.jpg HTTP/1.1,10.332
74,HTTP,web_server,client_browser,HTTP/1.1 200 OK,10.353
75,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,10.709
76,HTTP,web_server,client_browser,HTTP/1.1 200 OK,10.770
77,HTTP,client_browser,web_server,GET /banner.jpg HTTP/1.1,10.838
78,HTTP,web_server,client_browser,HTTP/1.1 200 OK,10.928
79,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,10.974
80,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,10.987
81,HTTP,client_browser,web_server,GET /banner.jpg HTTP/1.1,11.274
82,HTTP,web_server,client_browser,HTTP/1.1 200 OK,11.335
83,HTTP,client_browser,web_server,POST /login.html HTTP/1.1,11.544
84,HTTP,web_server,client_browser,HTTP/1.1 500 Internal Server Error,11.610
85,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,12.050
86,HTTP,web_server,client_browser,HTTP/1.1 200 OK,12.130
87,HTTP,client_browser,web_server,GET /contact.html HTTP/1.1,12.335
88,HTTP,web_server,client_browser,HTTP/1.1 200 OK,12.427
89,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,12.791
90,HTTP,web_server,client_browser,HTTP/1.1 500 Internal Server Error,12.853
91,HTTP,client_browser,web_server,POST /login.html HTTP/1.1,12.913
92,HTTP,web_server,client_browser,HTTP/1.1 200 OK,13.012
93,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,13.369
94,HTTP,web_server,client_browser,HTTP/1.1 200 OK,13.463
95,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,13.540
96,HTTP,web_server,client_browser,HTTP/1.1 200 OK,13.624
97,HTTP,client_browser,web_server,GET /products.html HTTP/1.1,13.716
98,HTTP,web_server,client_browser,HTTP/1.1 200 OK,13.787
99,HTTP,client_browser,web_server,GET /contact.html HTTP/1.1,13.802
100,HTTP,web_server,client_browser,HTTP/1.1 200 OK,13.862
101,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,14.117
102,HTTP,web_server,client_browser,HTTP/1.1 200 OK,14.176
103,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,14.415
104,HTTP,web_server,client_browser,HTTP/1.1 200 OK,14.424
105,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,14.858
106,HTTP,web_server,client_browser,HTTP/1.1 200 OK,14.958
107,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,14.993
108,HTTP,web_server,client_browser,HTTP/1.1 500 Internal Server Error,15.003
109,HTTP,client_browser,web_server,GET /about.html HTTP/1.1,15.212
110,HTTP,web_server,client_browser,HTTP/1.1 200 OK,15.254
111,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,15.289
112,HTTP,web_server,client_browser,HTTP/1.1 301 Moved Permanently,15.335
113,HTTP,client_browser,web_server,POST /login.html HTTP/1.1,15.551
114,HTTP,web_server,client_browser,HTTP/1.1 500 Internal Server Error,15.647
115,HTTP,client_browser,web_server,GET /contact.html HTTP/1.1,16.008
116,HTTP,web_server,client_browser,HTTP/1.1 200 OK,16.058
117,HTTP,client_browser,web_server,GET /banner.jpg HTTP/1.1,16.188
118,HTTP,web_server,client_browser,HTTP/1.1 200 OK,16.206
119,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,16.452
120,HTTP,web_server,client_browser,HTTP/1.1 301 Moved Permanently,16.523
121,HTTP,client_browser,web_server,GET /script.js HTTP/1.1,16.996
122,HTTP,web_server,client_browser,HTTP/1.1 200 OK,17.039
123,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,17.412
124,HTTP,web_server,client_browser,HTTP/1.1 301 Moved Permanently,17.431
125,HTTP,client_browser,web_server,GET /contact.html HTTP/1.1,17.657
126,HTTP,web_server,client_browser,HTTP/1.1 200 OK,17.754
127,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,18.237
128,HTTP,web_server,client_browser,HTTP/1.1 200 OK,18.242
129,HTTP,client_browser,web_server,GET /banner.jpg HTTP/1.1,18.266
130,HTTP,web_server,client_browser,HTTP/1.1 200 OK,18.308
